Frasi;Contesto
Puoi ricordarmi che domani ho un appuntamento con Mario?;EV
Fammi un promemoria per non dimenticare la visita medica di dopodomani.;EV
Imposta un avviso sul fatto che giovedì devo passare in banca.;EV
Mettimi una sveglia per ricordarmi di andare dal parrucchiere venerdì.;EV
Creami un memo per non scordare la lezione di tennis di sabato.;EV
Attiva un alert sul compleanno di mia madre la prossima settimana.;EV
Inserisci un reminder per il pagamento della bolletta entro il 5 del mese.;EV
Metti una nota sul ritiro della patente fra 2 settimane.;EV
Imposta un promemoria sulla scadenza della carta d'identità tra un mese.;EV
Inserisci un avviso per il cambio gomme fra 3 mesi.;EV
Crea un memo di verificare la caldaia prima dell'inverno.;EV
Metti un alert per controllare i freni dell'auto entro la fine dell'anno.;EV
Attiva un reminder per la revisione di marzo.;EV
Imposta una nota sul controllo dei punti patente ad aprile.;EV
Inserisci un promemoria per pulire le grondaie in primavera.;EV
Metti una sveglia per ricordarmi di prenotare le vacanze estive.;EV
Crea un memo sul rinnovo dell'assicurazione a luglio.;EV
Attiva un avviso per tagliare l'erba del giardino in estate.;EV
Inserisci un reminder sul controllo dei termosifoni in autunno.;EV
Metti una nota per pulire le finestre di casa in inverno.;EV
Imposta un promemoria per organizzare le vacanze di Natale.;EV
Crea un memo per ricordarmi di fare gli auguri a nonna il 25 dicembre.;EV
Attiva un alert sul compleanno di mio figlio il 10 agosto.;EV
Inserisci un reminder per l'anniversario di matrimonio del 5 settembre.;EV
Metti una nota sul vaccino antinfluenzale ad ottobre.;EV
Puoi creare un promemoria per la scadenza del passaporto?;EV
Fammi un memo per ricordarmi la festa della mamma.;EV
Imposta un avviso per il compleanno del mio migliore amico.;EV
Inserisci un reminder sul pagamento del mutuo;EV
Metti una sveglia per l'appuntamento dal dentista.;EV
Crea un alert per ricordarmi di saldare la retta dell'asilo.;EV
Attiva un promemoria per la data della laurea di mio fratello.;EV
Imposta una nota per il vaccino antinfluenzale annuale.;EV
Metti un memo sul cambio stagionale dell'armadio.;EV
Inserisci un avviso per ricordarmi di prenotare le vacanze.;EV
Crea un reminder per il compleanno dei miei genitori.;EV
Attiva una sveglia sul pagamento delle tasse universitarie.;EV
Metti un promemoria per ricordarmi di ritirare la prescrizione medica.;EV
Inserisci una nota per la scadenza della revisione auto.;EV
Crea un alert sul controllo della caldaia prima dell'inverno.;EV
Attiva un memo per ricordarmi di richiamare l'idraulico.;EV
Metti un promemoria per non scordare la visita oculistica.;EV
Inserisci un avviso sulla scadenza della patente.;EV
Crea un reminder per ricordarmi di comprare un regalo per l'anniversario.;EV
Attiva una nota sul controllo del green pass in scadenza.;EV
Metti una sveglia per non dimenticare l'appuntamento in comune.;EV
Inserisci un promemoria sul compleanno di mio nipote.;EV
Crea un alert per ricordarmi della visita dei parenti questo weekend.;EV
Attiva un memo sul pagamento del condominio.;EV
Metti un avviso per non scordare la prenotazione delle analisi del sangue.;EV
Inserisci un reminder per ricordarmi dell'esame universitario.;EV
Crea una nota sul controllo dell'impianto elettrico di casa.;EV
Attiva un promemoria per la scadenza del bonus energia.;EV
Metti una sveglia sul compleanno del mio partner.;EV
