Frasi;Contesto
Mi puoi dire che giorno è oggi?;GDS
Sai dirmi che data è?;GDS
Qual è la data di oggi?;GDS
Mi sai dire che giorno del mese è?;GDS
Vorrei sapere che giorno cade oggi;GDS
Puoi ricordarmi che giorno del mese siamo?;GDS
Mi confermi la data di oggi?;GDS
Sapresti dirmi che giorno è?;GDS
Mi sapresti dire che giorno cade oggi?;GDS
Vorrei sapere che data è oggi;GDS
Mi ricordi gentilmente che giorno è?;GDS
Sai indicarmi la data di oggi con precisione?;GDS
Mi confermi cortesemente la data odierna?;GDS
Potresti dirmi che giorno del mese è?;GDS
Sai dirmi con esattezza che giorno è?;GDS
Puoi ricordarmi gentilmente che data è?;GDS
Potresti cortesemente dirmi che giorno è?;GDS
Mi fai il piacere di dirmi che giorno siamo?;GDS
Saresti così gentile da indicarmi la data di oggi?;GDS
Puoi farmi la cortesia di confermarmi la data?;GDS
Ti dispiace dirmi che giorno cade oggi con esattezza?;GDS
Mi fai il favore di ricordarmi che data è?;GDS
Avresti la cortesia di dirmi che giorno del mese siamo?;GDS
Potresti gentilmente confermarmi la data odierna?;GDS
Saresti tanto carino da dirmi che giorno è?;GDS
Puoi ricordarmi per favore che data è oggi?;GDS
Ti chiedo la cortesia di dirmi il giorno esatto di oggi;GDS
Mi faresti il piacere di indicarmi la data di oggi?;GDS
Sei così gentile da potermi dire che giorno è?;GDS
Potresti per favore confermarmi la data odierna?;GDS
Mi puoi ricordare cortesemente la data di oggi?;GDS
Mi sapresti dire per favore che giorno cade oggi?;GDS
Ti dispiacerebbe dirmi che data è?;GDS
Saresti così carino da ricordarmi il giorno di oggi?;GDS
Mi confermi per piacere che giorno è?;GDS
Potresti ripetermi la data di oggi?;GDS
Mi dici gentilmente che giorno del mese siamo?;GDS
Mi fai la cortesia di indicarmi la data odierna?;GDS
Puoi ripetere che giorno è per favore?;GDS
Mi confermi cortesemente la data?;GDS
Mi ricordi per piacere il giorno esatto di oggi?;GDS
Sei così carino da potermi dire la data di oggi?;GDS
Puoi ripetermi che giorno cade oggi per favore?;GDS
Ti va di dirmi gentilmente che data è?;GDS
Mi dici per cortesia che giorno è?;GDS
Potresti ripetere la data per favore?;GDS
Mi confermi che giorno siamo?;GDS
Mi faresti la gentilezza di ricordarmi la data?;GDS
Puoi ricordarmi cortesemente che giorno del mese è?;GDS
Ti disturbo se ti chiedo che data è?;GDS
Mi puoi ripetere che giorno cade oggi per piacere?;GDS
Mi sapresti dire di nuovo che giorno è oggi?;GDS
Scusa, mi ripeti la data di oggi?;GDS
Ti dispiace ricordarmi il giorno esatto?;GDS
Puoi confermarmi di nuovo la data per favore?;GDS
Mi ripeti cortesemente il giorno di oggi?;GDS
Scusami, mi ridici che data è?;GDS
Puoi ripetermi gentilmente che giorno è?;GDS
Mi dici di nuovo per piacere che giorno del mese siamo?;GDS
Scusami il disturbo, mi confermi la data?;GDS
Potresti ridirmi il giorno di oggi per favore?;GDS
Puoi ripetere la data odierna per piacere?;GDS
Mi ricordi di nuovo per cortesia che giorno cade oggi?;GDS
Scusami, puoi ripetermi che giorno è?;GDS
Mi ridici per favore che data è?;GDS
Potresti confermarmi nuovamente il giorno di oggi?;GDS
Scusa se ti richiedo, che giorno è oggi?;GDS
Mi ripeti gentilmente la data per piacere?;GDS
Puoi ricordarmi ancora una volta che giorno siamo?;GDS
Mi confermi nuovamente la data per favore?;GDS
Ti spiace ridirmi che giorno cade oggi?;GDS
Scusami, puoi ripetermi il giorno esatto?;GDS
Potresti ricordarmi di nuovo cortesemente la data di oggi?;GDS
Mi dici di nuovo per favore il giorno del mese?;GDS
Scusami il disturbo, mi puoi ridire la data?;GDS
Ti dispiace ripetermi il giorno di oggi?;GDS
Potresti confermarmi un'altra volta la data per piacere?;GDS
Mi ripeti per cortesia che giorno è?;GDS
Scusa, mi ricordi nuovamente che data è?;GDS
Puoi ridirmi gentilmente il giorno di oggi?;GDS
Ti chiedo nuovamente, che giorno cade oggi?;GDS
Scusami ancora, mi confermi la data odierna?;GDS
Mi ripeti per favore il giorno esatto?;GDS
Potresti ricordarmi cortesemente di nuovo la data?;GDS
Scusa se te lo richiedo, puoi dirmi che giorno è?;GDS
Mi ridici per piacere che giorno del mese siamo?;GDS
Ti disturbo se ti richiedo nuovamente la data?;GDS
Puoi ripetermi per favore il giorno di oggi?;GDS
Che giorno è il 5 maggio 2022?;GDS
Mi sai dire che giorno cade il 25 dicembre 2023?;GDS
Sai dirmi che data è il 15 agosto 2024?;GDS
Che giorno sarà il 31 ottobre 2025?;GDS
Mi confermi cortesemente che giorno cade il 14 febbraio 2026?;GDS
Sapresti indicarmi il giorno esatto del 1 gennaio 2027?;GDS
Puoi ricordarmi gentilmente che data sarà il 23 aprile 2028?;GDS
Mi sapresti dire che giorno sarà il 15 giugno 2029?;GDS
Vorrei sapere che giorno cade il 30 settembre 2030;GDS
Mi confermi cortesemente la data del 25 dicembre 2031?;GDS
Sai dirmi con precisione che giorno sarà il 17 marzo 2032?;GDS
Puoi ricordarmi per favore che data cade il 6 luglio 2033?;GDS
