Frasi;Contesto
Puoi dirmi le ultime notizie di oggi?;NW
Hai qualche aggiornamento di cronaca da comunicarmi?;NW
Sapresti riferirmi le principali news di politica?;NW
Avresti notizie recenti dall'estero da raccontarmi?;NW
Potresti aggiornarmi sulle ultime novità sportive?;NW
Hai qualche notizia di spettacolo di cui parlarmi?;NW
Mi sapresti dire le principali news di economia?;NW
Avresti aggiornamenti di tecnologia da comunicarmi?;NW
Potresti informarmi sulle ultime novità in ambito scientifico?;NW
Sapresti dirmi gli ultimi fatti di cronaca locale?;NW
Mi racconteresti le notizie più recenti di gossip?;NW
Potresti riferirmi gli aggiornamenti meteo previsti per oggi?;NW
Avresti breaking news di cui mettermi al corrente?;NW
Sapresti aggiornarmi con le ultime notizie dell'ultim'ora?;NW
Hai novità di attualità di cui parlarmi?;NW
Potresti dirmi le news più rilevanti di oggi?;NW
Avresti notizie dell'ultimo minuto da comunicarmi?;NW
Sapresti riferirmi gli ultimi sviluppi politici?;NW
Hai aggiornamenti di cronaca nera di cui mettermi al corrente?;NW
Potresti informarmi sulle novità sportive della giornata?;NW
Avresti news dal mondo dello spettacolo da raccontarmi?;NW
Sapresti aggiornarmi con le ultime notizie di economia?;NW
Hai gli ultimi aggiornamenti tecnologici di cui parlarmi?;NW
Potresti mettermi al corrente delle ultime scoperte scientifiche?;NW
Avresti notizie dell'ultima ora di interesse locale?;NW
Sapresti riferirmi gli ultimi gossip del momento?;NW
Potresti aggiornarmi con le previsioni meteo di domani?;NW
Hai nuove breaking news di cui informarmi?;NW
Avresti gli ultimi fatti di attualità da comunicarmi?;NW
Sapresti dirmi le notizie più rilevanti del giorno?;NW
Potresti mettermi al corrente delle novità dell'ultimo minuto?;NW
Hai aggiornamenti politici di cui parlarmi?;NW
Avresti news di cronaca da raccontarmi?;NW
Sapresti informarmi sulle ultime notizie sportive?;NW
Potresti aggiornarmi con le novità dal mondo dello spettacolo?;NW
Hai le ultime news economiche di cui mettermi al corrente?;NW
Avresti gli ultimi aggiornamenti tecnologici da comunicarmi?;NW
Sapresti riferirmi le notizie scientifiche più recenti?;NW
Potresti mettermi al corrente delle ultime news locali?;NW
Hai gli ultimi gossip di cui parlarmi?;NW
Avresti le previsioni meteo di domani da raccontarmi?;NW
Sapresti informarmi con le ultime breaking news?;NW
Potresti aggiornarmi sugli ultimi fatti di attualità?;NW
Hai le notizie più rilevanti della giornata di cui mettermi al corrente?;NW
Avresti gli ultimi aggiornamenti dell'ultima ora da comunicarmi?;NW
Sapresti riferirmi le novità politiche recenti?;NW
Potresti raccontarmi gli ultimi fatti di cronaca?;NW
Hai aggiornamenti sportivi di cui parlarmi?;NW
Avresti news di spettacolo di cui mettermi al corrente?;NW
Sapresti comunicarmi le ultime notizie economiche?;NW
Potresti informarmi con gli ultimi aggiornamenti tecnologici?;NW
Hai le novità scientifiche recenti da raccontarmi?;NW
Avresti notizie locali di cui mettermi al corrente?;NW
Sapresti aggiornarmi con gli ultimi gossip?;NW
Potresti riferirmi le previsioni meteo di dopodomani?;NW
Hai nuove breaking news di cui parlarmi?;NW
Avresti fatti di attualità da comunicarmi?;NW
Sapresti dirmi le notizie principali di oggi?;NW
Potresti mettermi al corrente delle ultime novità?;NW
Hai aggiornamenti politici recenti di cui riferirmi?;NW
Avresti ultime news di cronaca da raccontarmi?;NW
Sapresti informarmi con gli ultimi risultati sportivi?;NW
Potresti aggiornarmi sulle notizie di spettacolo?;NW
Hai le ultime news di economia di cui mettermi al corrente?;NW
Avresti nuovi aggiornamenti tecnologici da comunicarmi?;NW
Sapresti riferirmi le recenti scoperte scientifiche?;NW
Potresti mettermi al corrente delle notizie locali dell'ultima ora?;NW
Hai nuovi gossip di cui parlarmi?;NW
Avresti previsioni meteo aggiornate da raccontarmi? ;NW
Sapresti informarmi con le ultime breaking news?;NW
Potresti aggiornarmi con i fatti di attualità recenti?;NW
Hai notizie rilevanti di oggi di cui mettermi al corrente?;NW
Avresti gli ultimi aggiornamenti di cronaca da comunicarmi?;NW
Sapresti riferirmi le novità politiche dell'ultima ora?;NW
Potresti raccontarmi i recenti fatti di cronaca nera?;NW
Hai aggiornamenti sportivi dell'ultimo minuto di cui parlarmi?;NW
Avresti news recenti di gossip di cui mettermi al corrente?;NW
Sapresti comunicarmi gli ultimi sviluppi economici?;NW
Potresti informarmi con le novità tecnologiche dell'ultima ora?;NW
Hai gli ultimi aggiornamenti scientifici da raccontarmi?;NW
Avresti notizie locali recenti di cui mettermi al corrente?;NW
Sapresti aggiornarmi con i gossip dell'ultimo minuto?;NW
Potresti riferirmi le previsioni meteo di stasera?;NW
Hai nuove breaking news dell'ultima ora di cui parlarmi?;NW
Avresti fatti di stretta attualità da comunicarmi?;NW
Sapresti dirmi le notizie principali di questo momento?;NW
Potresti mettermi al corrente delle ultimissime novità?;NW
Hai aggiornamenti politici urgenti di cui riferirmi?;NW
Avresti news dell'ultimo secondo da raccontarmi?;NW
Sapresti informarmi con i risultati sportivi appena arrivati?;NW
Potresti aggiornarmi con le notizie di spettacolo appena giunte?;NW
Hai le ultime news economiche urgenti di cui mettermi al corrente?;NW
Avresti nuovissimi aggiornamenti tecnologici da comunicarmi?;NW
Sapresti riferirmi gli ultimi fatti scientifici appena scoperti?;NW
Potresti mettermi al corrente delle notizie locali appena giunte?;NW
Hai i gossip freschissimi di cui parlarmi?;NW
Avresti le previsioni meteo dell'ultimissima ora da raccontarmi?;NW
Sapresti informarmi con le breaking news appena arrivate?;NW
Potresti aggiornarmi con i fatti urgenti di stretta attualità?;NW
