Frasi;Contesto
Ciao, come stai oggi?;AL
Mi piace il tuo nuovo taglio di capelli!;AL
Hai visto la partita di calcio ieri sera?;AL
Che tempo fa oggi dove vivi?;AL
Hai qualche consiglio su un buon film da guardare?;AL
Cosa hai mangiato a pranzo? Era buono?;AL
Hai già piani per il prossimo weekend?;AL
Com'è andata la tua giornata finora?;AL
Dimmi un po', qual è il tuo piatto preferito?;AL
Che musica ti piace ascoltare quando ti rilassi?;AL
Qual è il tuo genere di libri o film preferito?;AL
Dove ti piacerebbe andare in vacanza quest'anno?;AL
Cosa ne pensi di questa nuova serie TV che è uscita?;AL
Hai visto qualche mostra d'arte interessante ultimamente?;AL
Che programmi hai per questa sera dopo il lavoro/scuola?;AL
Cosa fai di solito nel tempo libero per divertirti?;AL
Qual è stato il viaggio più bello che hai fatto finora?;AL
C'è qualche hobby che ti piacerebbe iniziare?;AL
Dimmi un po', sei mattiniero o nottambulo?;AL
Preferisci leggere libri cartacei o ebook? Perché?;AL
Caffè o tè? Cosa preferisci di solito al mattino?;AL
Camminare o fare jogging? Quale attività fisica ti piace di più?;AL
Mare o montagna? Dove preferiresti passare le vacanze?;AL
Qual è l'invenzione moderna che apprezzi di più e perché?;AL
Dimmi un po', gatto o cane? Quale animale domestico preferisci?;AL
Film romantico o horror? Che genere cinematografico ti piace di più?;AL
Pizza o sushi? Qual è il tuo cibo italiano e giapponese preferito? ;AL
Auto o moto? Con quale mezzo ti piace viaggiare?;AL
Qual è il tuo personaggio storico o famoso preferito e perché?;AL
Dimmi un po', sei per il dolce o il salato a fine pasto?;AL
Qual è il tuo colore preferito e perché?;AL
Inverno o estate? Qual è la tua stagione preferita dell'anno?;AL
Mattina o sera? In che parte della giornata ti senti più produttivo?;AL
Qual è la tua materia preferita a scuola e perché?;AL
Sei per la pianificazione o preferisci improvvisare?;AL
Lavoro in team o individuale? Cosa preferisci?;AL
Vestiti eleganti o sportivi? Che stile preferisci?;AL
Dimmi un po', ti piace cucinare o preferisci mangiare fuori?;AL
Qual è la tua serie TV o libro preferito in questo momento?;AL
Social o realtà? Cosa preferisci tra interazioni online e di persona?;AL
Città o campagna? Dove ti piacerebbe vivere in futuro?;AL
Qual è la qualità che apprezzi di più in un amico?;AL
Più testa o cuore nelle decisioni importanti? Cosa guida le tue scelte?;AL
Sei per la tradizione o ami sperimentare cose nuove?;AL
Qual è stata la tua materia preferita alle elementari?;AL
Ti consideri una persona ottimista o pessimista?;AL
Cosa non può assolutamente mancare nella tua valigia quando viaggi?;AL
Qual è il tuo posto preferito dove andare a mangiare fuori?;AL
Cosa fai per rilassarti e liberare la mente dopo una lunga giornata?;AL
Qual è il tuo sogno nel cassetto che speri di realizzare un giorno?;AL
Con chi vorresti scambiare la vita per un giorno?;AL
Dimmi tre aggettivi che useresti per descriverti;AL
Qual è la cosa più folle che tu abbia mai fatto?;AL
Qual è la tua idea per una startup innovativa e di successo?;AL
Cosa vorresti cambiare del mondo se ne avessi la possibilità?;AL
Qual è la migliore lezione di vita che tu abbia imparato finora?;AL
Qual è il tuo motto o mantra preferito?;AL
Cosa consiglieresti a un giovane che inizia l'università?;AL
Cosa pensi sia più importante: amicizia o amore?;AL
Meglio essere leader o parte di un team affiatato? Cosa preferisci?;AL
Se potessi avere un superpotere, quale sceglieresti?;AL
Che consiglio daresti a te stesso cinque anni fa?;AL
Qual è l'obiettivo o traguardo più importante che vuoi realizzare?;AL
Qual è la tua più grande passione nella vita?;AL
Chi è la persona che più ti ha ispirato e perché?;AL
Qual è la tua idea di una vita felice e appagante?;AL
Cosa ne pensi davvero delle nuove tecnologie e dei social media?;AL
Qual è la cosa che ti rende più orgoglioso di te stesso?;AL
Qual è il tuo più grande rimpianto finora?;AL
Cosa faresti se improvvisamente diventassi molto ricco?;AL
Chi inviteresti a cena, vivente o meno, per una serata ideale?;AL
Qual è la cosa che ancora vorresti fare assolutamente prima di morire?;AL
